state,district,demo_update_intensity,total_enrollments,bio_refresh_rate,age_disparity,update_enrol_ratio,temporal_volatility,demo_update_intensity_normalized,bio_refresh_rate_normalized,age_disparity_normalized,update_enrol_ratio_normalized,temporal_volatility_normalized,demo_update_intensity_state_norm,bio_refresh_rate_state_norm,age_disparity_state_norm,update_enrol_ratio_state_norm,temporal_volatility_state_norm,UFI,UFI_Category,UFI_weighted
Andaman & Nicobar Islands,Andamans,0.0,0.0,181.92321301059215,0.0,0.0,89.42166703152023,0.0,3.026356484665815,0.0,0.0,27.26442468816131,0.0,100.0,0.0,0.0,100.0,27.470590067702645,Moderate Friction,0.0
Andaman & Nicobar Islands,Nicobars,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0629959249257566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Andaman & Nicobar Islands,South Andaman,0.0,0.0,118.34656084656083,0.0,0.0,61.05060770682934,0.0,2.3402214427791925,0.0,0.0,18.614165349910174,0.0,65.05302918087222,0.0,0.0,68.27272375196229,18.47495206665019,Low Friction,0.0
Andaman And Nicobar Islands,Nicobar,0.0,0.0,58.316347506220914,0.0,0.0,91.36679607392666,0.0,1.6923604506894,0.0,0.0,27.857489278052615,0.0,0.0,0.0,0.0,16.242588001724815,3.0495632413498868,Low Friction,0.0
Andaman And Nicobar Islands,North And Middle Andaman,0.0,0.0,149.82728853438869,0.0,0.0,257.7987028360166,0.0,2.679969285351649,0.0,0.0,78.60212800216188,0.0,38.57017218925614,0.0,0.0,100.0,22.128969657475697,Low Friction,0.0
Andaman And Nicobar Islands,South Andaman,0.0,0.0,295.57466354158066,0.0,0.0,59.09162391443141,0.0,4.252911204303485,0.0,0.0,18.01687648417772,0.0,100.0,0.0,0.0,0.0,8.695483286529283,Low Friction,0.0
Andhra Pradesh,Adilabad,0.0,0.0,4490.957188257883,0.0,0.0,92.69153263907296,0.0,49.53052281712757,0.0,0.0,28.26139787773633,0.0,100.0,0.0,0.0,31.606281369007284,14.629596363118502,Low Friction,0.0
Andhra Pradesh,Alluri Sitharama Raju,0.0,0.0,727.1069261101507,0.0,0.0,256.94532120536,0.0,8.910114705503695,0.0,0.0,78.3419342485485,0.0,16.3718218801171,0.0,0.0,87.61410980319921,17.873251706211057,Low Friction,0.0
Andhra Pradesh,Anakapalli,0.0,0.0,65.6039649084743,0.0,0.0,226.88972793457972,0.0,1.77101023015007,0.0,0.0,69.1780650612256,0.0,1.6740300942566093,0.0,0.0,77.36564901522551,14.671048221613942,Low Friction,0.0
Andhra Pradesh,Anantapur,870.8747514910536,2012.0,432.6542871888391,108.7972166998012,3756.4115308151095,188.65927425412136,28.244394009750334,5.732308594879298,0.0023694777123708056,40.39070031981318,57.52170302094194,42.94912321922673,9.829442130522667,0.011922078800358322,42.01456221175703,64.3296958759631,35.66820060870869,Moderate Friction,1.9832643256797535
Andhra Pradesh,Ananthapur,0.0,0.0,437.9580302958333,0.0,0.0,220.42817378193,0.0,5.789547909549159,0.0,0.0,67.207954657208,0.0,9.947284856019593,0.0,0.0,75.1623657938233,14.976778929165087,Low Friction,0.0
Andhra Pradesh,Ananthapuramu,1051.7959770114942,1392.0,135.55585856086023,228609.3583273252,6905.4714023069955,272.7803377981061,34.11206943561061,2.5259484637235343,4.978847766764406,77.5390544790384,83.16998802634855,51.87165541406523,3.2282761494242593,25.05118115289712,80.65642344538198,93.01358886739862,57.88642757824711,High Friction,2.2268317587099618
Andhra Pradesh,Annamayya,0.0,0.0,6.575143637773266,0.0,0.0,283.08672490416745,0.0,1.1339565103254778,0.0,0.0,86.31237761030921,0.0,0.3624814311554202,0.0,0.0,96.52789660940667,18.154735174299617,Low Friction,0.0
